sample,thin_sample,who,which,forward,value
11,11,monkeys,OMCM,None,0.035732
11,11,monkeys,CMCM,None,0.040230
11,11,monkeys,OOCM,None,0.215619
11,11,monkeys,OCOM,None,0.095888
11,11,monkeys,OOMM,None,0.186630
11,11,monkeys,CCMM,None,0.075029
11,11,monkeys,OCCM,None,0.060517
11,11,monkeys,OMOM,None,0.046176
11,11,monkeys,CCOM,None,0.053800
11,11,monkeys,COCM,None,0.037993
11,11,monkeys,COOM,None,0.054625
12,12,monkeys,CMOM,None,0.061973
12,12,monkeys,OMCM,None,0.130694
12,12,monkeys,CMCM,None,0.087079
12,12,monkeys,OOCM,None,0.089426
12,12,monkeys,OCOM,None,0.070615
12,12,monkeys,OOMM,None,0.249866
12,12,monkeys,CCMM,None,0.050784
12,12,monkeys,OCCM,None,0.011492
12,12,monkeys,OMOM,None,0.123387
12,12,monkeys,CCOM,None,0.015618
12,12,monkeys,COCM,None,0.048696
12,12,monkeys,COOM,None,0.060368
13,13,monkeys,CMOM,None,0.052434
13,13,monkeys,OMCM,None,0.113391
13,13,monkeys,CMCM,None,0.051423
13,13,monkeys,OOCM,None,0.095041
13,13,monkeys,OCOM,None,0.095082
13,13,monkeys,OOMM,None,0.233128
13,13,monkeys,CCMM,None,0.046878
13,13,monkeys,OCCM,None,0.032942
13,13,monkeys,OMOM,None,0.114656
13,13,monkeys,CCOM,None,0.101373
13,13,monkeys,COCM,None,0.042909
13,13,monkeys,COOM,None,0.020743
14,14,monkeys,CMOM,None,0.076223
14,14,monkeys,OMCM,None,0.109561
14,14,monkeys,CMCM,None,0.057362
14,14,monkeys,OOCM,None,0.121594
14,14,monkeys,OCOM,None,0.113944
14,14,monkeys,OOMM,None,0.221202
14,14,monkeys,CCMM,None,0.046739
14,14,monkeys,OCCM,None,0.029317
14,14,monkeys,OMOM,None,0.072973
14,14,monkeys,CCOM,None,0.043882
14,14,monkeys,COCM,None,0.048845
14,14,monkeys,COOM,None,0.058358
15,15,monkeys,CMOM,None,0.065847
15,15,monkeys,OMCM,None,0.124936
15,15,monkeys,CMCM,None,0.050322
15,15,monkeys,OOCM,None,0.120744
15,15,monkeys,OCOM,None,0.117104
15,15,monkeys,OOMM,None,0.220408
15,15,monkeys,CCMM,None,0.051524
