sample,thin_sample,who,which,forward,value
12,12,kids,OOCM,None,0.276331
12,12,kids,OCOM,None,0.055691
12,12,kids,OOMM,None,0.288041
12,12,kids,CCMM,None,0.032959
12,12,kids,OCCM,None,0.030512
12,12,kids,OMOM,None,0.044643
12,12,kids,CCOM,None,0.038617
12,12,kids,COCM,None,0.042697
12,12,kids,COOM,None,0.037519
13,13,kids,CMOM,None,0.020645
13,13,kids,OMCM,None,0.071253
13,13,kids,CMCM,None,0.031571
13,13,kids,OOCM,None,0.247792
13,13,kids,OCOM,None,0.070948
13,13,kids,OOMM,None,0.328558
13,13,kids,CCMM,None,0.048282
13,13,kids,OCCM,None,0.027605
13,13,kids,OMOM,None,0.048571
13,13,kids,CCOM,None,0.028024
13,13,kids,COCM,None,0.030366
13,13,kids,COOM,None,0.046385
14,14,kids,CMOM,None,0.059273
14,14,kids,OMCM,None,0.032145
14,14,kids,CMCM,None,0.046925
14,14,kids,OOCM,None,0.240061
14,14,kids,OCOM,None,0.079502
14,14,kids,OOMM,None,0.279648
14,14,kids,CCMM,None,0.053774
14,14,kids,OCCM,None,0.028127
14,14,kids,OMOM,None,0.073694
14,14,kids,CCOM,None,0.020569
14,14,kids,COCM,None,0.049250
14,14,kids,COOM,None,0.037033
15,15,kids,CMOM,None,0.020500
15,15,kids,OMCM,None,0.055078
15,15,kids,CMCM,None,0.042452
15,15,kids,OOCM,None,0.282165
15,15,kids,OCOM,None,0.067278
15,15,kids,OOMM,None,0.290920
15,15,kids,CCMM,None,0.048770
15,15,kids,OCCM,None,0.040416
15,15,kids,OMOM,None,0.037925
15,15,kids,CCOM,None,0.020347
15,15,kids,COCM,None,0.051651
15,15,kids,COOM,None,0.042497
16,16,kids,CMOM,None,0.019242
16,16,kids,OMCM,None,0.033620
16,16,kids,CMCM,None,0.031310
16,16,kids,OOCM,None,0.278373
16,16,kids,OCOM,None,0.065913
16,16,kids,OOMM,None,0.354867
16,16,kids,CCMM,None,0.039724
16,16,kids,OCCM,None,0.040341
16,16,kids,OMOM,None,0.037261
16,16,kids,CCOM,None,0.019333
16,16,kids,COCM,None,0.031675
16,16,kids,COOM,None,0.048340
17,17,kids,CMOM,None,0.044821
17,17,kids,OMCM,None,0.042073
17,17,kids,CMCM,None,0.027436
17,17,kids,OOCM,None,0.251837
17,17,kids,OCOM,None,0.074469
17,17,kids,OOMM,None,0.316558
17,17,kids,CCMM,None,0.056722
17,17,kids,OCCM,None,0.043126
17,17,kids,OMOM,None,0.037330
17,17,kids,CCOM,None,0.030148
17,17,kids,COCM,None,0.038240
17,17,kids,COOM,None,0.037239
18,18,kids,CMOM,None,0.044287
18,18,kids,OMCM,None,0.048022
18,18,kids,CMCM,None,0.026641
18,18,kids,OOCM,None,0.250232
18,18,kids,OCOM,None,0.126788
18,18,kids,OOMM,None,0.241538
18,18,kids,CCMM,None,0.052443
18,18,kids,OCCM,None,0.041054
18,18,kids,OMOM,None,0.049136
18,18,kids,CCOM,None,0.031943
18,18,kids,COCM,None,0.048327
18,18,kids,COOM,None,0.039588
19,19,kids,CMOM,None,0.035649
19,19,kids,OMCM,None,0.027518
19,19,kids,CMCM,None,0.057291
19,19,kids,OOCM,None,0.244537
19,19,kids,OCOM,None,0.063929
19,19,kids,OOMM,None,0.343132
19,19,kids,CCMM,None,0.048805
19,19,kids,OCCM,None,0.038654
19,19,kids,OMOM,None,0.043447
19,19,kids,CCOM,None,0.027475
19,19,kids,COCM,None,0.032846
19,19,kids,COOM,None,0.036717
20,20,kids,CMOM,None,0.085262
20,20,kids,OMCM,None,0.053891
20,20,kids,CMCM,None,0.055267
20,20,kids,OOCM,None,0.237387
20,20,kids,OCOM,None,0.080337
20,20,kids,OOMM,None,0.190164
20,20,kids,CCMM,None,0.052989
20,20,kids,OCCM,None,0.050898
20,20,kids,OMOM,None,0.055709
20,20,kids,CCOM,None,0.044108
20,20,kids,COCM,None,0.048597
20,20,kids,COOM,None,0.045390
21,21,kids,CMOM,None,0.078936
21,21,kids,OMCM,None,0.051355
21,21,kids,CMCM,None,0.071448
21,21,kids,OOCM,None,0.288579
21,21,kids,OCOM,None,0.076995
21,21,kids,OOMM,None,0.213884
21,21,kids,CCMM,None,0.042158
21,21,kids,OCCM,None,0.037394
21,21,kids,OMOM,None,0.039320
21,21,kids,CCOM,None,0.027538
21,21,kids,COCM,None,0.036383
21,21,kids,COOM,None,0.036010
22,22,kids,CMOM,None,0.084041
22,22,kids,OMCM,None,0.053868
22,22,kids,CMCM,None,0.052622
22,22,kids,OOCM,None,0.236593
22,22,kids,OCOM,None,0.084070
22,22,kids,OOMM,None,0.198441
22,22,kids,CCMM,None,0.054879
22,22,kids,OCCM,None,0.048091
22,22,kids,OMOM,None,0.052898
22,22,kids,CCOM,None,0.039584
22,22,kids,COCM,None,0.053138
22,22,kids,COOM,None,0.041773
23,23,kids,CMOM,None,0.049037
23,23,kids,OMCM,None,0.033231
23,23,kids,CMCM,None,0.039860
23,23,kids,OOCM,None,0.299424
23,23,kids,OCOM,None,0.062936
23,23,kids,OOMM,None,0.281294
23,23,kids,CCMM,None,0.044748
23,23,kids,OCCM,None,0.049777
23,23,kids,OMOM,None,0.042673
23,23,kids,CCOM,None,0.029400
23,23,kids,COCM,None,0.033123
23,23,kids,COOM,None,0.034497
24,24,kids,CMOM,None,0.039164
24,24,kids,OMCM,None,0.034720
24,24,kids,CMCM,None,0.069070
24,24,kids,OOCM,None,0.275205
24,24,kids,OCOM,None,0.048782
24,24,kids,OOMM,None,0.317790
24,24,kids,CCMM,None,0.041438
24,24,kids,OCCM,None,0.043180
24,24,kids,OMOM,None,0.045053
24,24,kids,CCOM,None,0.029483
24,24,kids,COCM,None,0.023023
24,24,kids,COOM,None,0.033092
25,25,kids,CMOM,None,0.056429
25,25,kids,OMCM,None,0.035131
25,25,kids,CMCM,None,0.072925
25,25,kids,OOCM,None,0.227075
25,25,kids,OCOM,None,0.055234
25,25,kids,OOMM,None,0.302962
25,25,kids,CCMM,None,0.051605
25,25,kids,OCCM,None,0.060204
25,25,kids,OMOM,None,0.048546
25,25,kids,CCOM,None,0.033563
25,25,kids,COCM,None,0.031622
25,25,kids,COOM,None,0.024704
26,26,kids,CMOM,None,0.046353
26,26,kids,OMCM,None,0.028296
26,26,kids,CMCM,None,0.052517
26,26,kids,OOCM,None,0.350703
26,26,kids,OCOM,None,0.049418
26,26,kids,OOMM,None,0.269683
26,26,kids,CCMM,None,0.032108
26,26,kids,OCCM,None,0.034918
26,26,kids,OMOM,None,0.038343
26,26,kids,CCOM,None,0.039971
26,26,kids,COCM,None,0.028177
26,26,kids,COOM,None,0.029512
27,27,kids,CMOM,None,0.047017
27,27,kids,OMCM,None,0.028774
27,27,kids,CMCM,None,0.057818
27,27,kids,OOCM,None,0.335557
27,27,kids,OCOM,None,0.096487
27,27,kids,OOMM,None,0.200793
27,27,kids,CCMM,None,0.045647
27,27,kids,OCCM,None,0.059806
27,27,kids,OMOM,None,0.034558
27,27,kids,CCOM,None,0.032736
27,27,kids,COCM,None,0.028849
27,27,kids,COOM,None,0.031959
28,28,kids,CMOM,None,0.048247
28,28,kids,OMCM,None,0.038688
28,28,kids,CMCM,None,0.062245
28,28,kids,OOCM,None,0.254427
28,28,kids,OCOM,None,0.074111
28,28,kids,OOMM,None,0.289329
28,28,kids,CCMM,None,0.041262
28,28,kids,OCCM,None,0.058305
28,28,kids,OMOM,None,0.041062
28,28,kids,CCOM,None,0.029170
28,28,kids,COCM,None,0.024222
28,28,kids,COOM,None,0.038932
29,29,kids,CMOM,None,0.038175
29,29,kids,OMCM,None,0.057766
29,29,kids,CMCM,None,0.062267
29,29,kids,OOCM,None,0.243812
29,29,kids,OCOM,None,0.077378
29,29,kids,OOMM,None,0.292043
29,29,kids,CCMM,None,0.039947
29,29,kids,OCCM,None,0.055063
29,29,kids,OMOM,None,0.039362
29,29,kids,CCOM,None,0.029573
29,29,kids,COCM,None,0.029602
29,29,kids,COOM,None,0.035011
30,30,kids,CMOM,None,0.072507
30,30,kids,OMCM,None,0.043799
30,30,kids,CMCM,None,0.073925
30,30,kids,OOCM,None,0.304426
30,30,kids,OCOM,None,0.072554
30,30,kids,OOMM,None,0.174467
30,30,kids,CCMM,None,0.050093
30,30,kids,OCCM,None,0.053054
30,30,kids,OMOM,None,0.036980
30,30,kids,CCOM,None,0.048862
30,30,kids,COCM,None,0.026290
30,30,kids,COOM,None,0.043043
31,31,kids,CMOM,None,0.071315
31,31,kids,OMCM,None,0.044552
31,31,kids,CMCM,None,0.071642
31,31,kids,OOCM,None,0.302448
31,31,kids,OCOM,None,0.074093
31,31,kids,OOMM,None,0.176143
31,31,kids,CCMM,None,0.048069
31,31,kids,OCCM,None,0.053724
31,31,kids,OMOM,None,0.035066
31,31,kids,CCOM,None,0.049943
31,31,kids,COCM,None,0.027563
31,31,kids,COOM,None,0.045442
32,32,kids,CMOM,None,0.061652
32,32,kids,OMCM,None,0.044234
32,32,kids,CMCM,None,0.065577
32,32,kids,OOCM,None,0.305288
32,32,kids,OCOM,None,0.116338
32,32,kids,OOMM,None,0.155122
32,32,kids,CCMM,None,0.050832
32,32,kids,OCCM,None,0.037469
32,32,kids,OMOM,None,0.049925
32,32,kids,CCOM,None,0.035082
32,32,kids,COCM,None,0.039858
32,32,kids,COOM,None,0.038621
33,33,kids,CMOM,None,0.059638
33,33,kids,OMCM,None,0.053949
33,33,kids,CMCM,None,0.068936
33,33,kids,OOCM,None,0.283337
33,33,kids,OCOM,None,0.127933
33,33,kids,OOMM,None,0.130703
33,33,kids,CCMM,None,0.050013
33,33,kids,OCCM,None,0.042722
33,33,kids,OMOM,None,0.057131
33,33,kids,CCOM,None,0.040281
33,33,kids,COCM,None,0.042087
33,33,kids,COOM,None,0.043270
34,34,kids,CMOM,None,0.064274
34,34,kids,OMCM,None,0.041144
34,34,kids,CMCM,None,0.057671
34,34,kids,OOCM,None,0.308645
34,34,kids,OCOM,None,0.069150
34,34,kids,OOMM,None,0.167570
34,34,kids,CCMM,None,0.060927
34,34,kids,OCCM,None,0.061071
34,34,kids,OMOM,None,0.037050
34,34,kids,CCOM,None,0.053974
34,34,kids,COCM,None,0.038776
34,34,kids,COOM,None,0.039749
35,35,kids,CMOM,None,0.064813
35,35,kids,OMCM,None,0.047839
35,35,kids,CMCM,None,0.064301
35,35,kids,OOCM,None,0.288387
35,35,kids,OCOM,None,0.096519
35,35,kids,OOMM,None,0.202920
35,35,kids,CCMM,None,0.055066
35,35,kids,OCCM,None,0.048789
35,35,kids,OMOM,None,0.027125
35,35,kids,CCOM,None,0.042566
35,35,kids,COCM,None,0.030705
35,35,kids,COOM,None,0.030970
36,36,kids,CMOM,None,0.057530
36,36,kids,OMCM,None,0.042687
36,36,kids,CMCM,None,0.070846
36,36,kids,OOCM,None,0.285074
36,36,kids,OCOM,None,0.085008
36,36,kids,OOMM,None,0.202534
36,36,kids,CCMM,None,0.035867
36,36,kids,OCCM,None,0.041688
36,36,kids,OMOM,None,0.052273
36,36,kids,CCOM,None,0.041796
36,36,kids,COCM,None,0.036491
36,36,kids,COOM,None,0.048204
37,37,kids,CMOM,None,0.053687
37,37,kids,OMCM,None,0.043355
37,37,kids,CMCM,None,0.044804
37,37,kids,OOCM,None,0.380539
37,37,kids,OCOM,None,0.093328
37,37,kids,OOMM,None,0.154960
37,37,kids,CCMM,None,0.053481
37,37,kids,OCCM,None,0.040001
37,37,kids,OMOM,None,0.028943
