sample,thin_sample,who,part,digits,value
17,17,adults,3,None,0.008198
17,17,adults,4,None,0.017953
17,17,adults,5,None,0.009591
17,17,adults,6,None,0.002442
17,17,adults,7,None,0.032754
17,17,adults,8,None,0.024757
17,17,adults,9,None,0.014038
18,18,adults,0,None,0.008016
18,18,adults,1,None,0.002474
18,18,adults,2,None,0.003627
18,18,adults,3,None,0.007767
18,18,adults,4,None,0.003421
18,18,adults,5,None,0.008117
18,18,adults,6,None,0.004767
18,18,adults,7,None,0.000412
18,18,adults,8,None,0.002206
18,18,adults,9,None,0.018407
19,19,adults,0,None,0.001467
19,19,adults,1,None,0.021672
19,19,adults,2,None,0.033085
19,19,adults,3,None,0.011475
19,19,adults,4,None,0.011950
19,19,adults,5,None,0.010929
19,19,adults,6,None,0.001644
19,19,adults,7,None,0.000769
19,19,adults,8,None,0.004762
19,19,adults,9,None,0.004366
20,20,adults,0,None,0.034365
20,20,adults,1,None,0.002940
20,20,adults,2,None,0.001478
20,20,adults,3,None,0.006663
20,20,adults,4,None,0.006898
20,20,adults,5,None,0.008086
20,20,adults,6,None,0.004385
20,20,adults,7,None,0.008077
20,20,adults,8,None,0.020669
20,20,adults,9,None,0.016145
21,21,adults,0,None,0.009248
21,21,adults,1,None,0.009834
21,21,adults,2,None,0.002817
21,21,adults,3,None,0.004907
21,21,adults,4,None,0.006254
21,21,adults,5,None,0.015664
21,21,adults,6,None,0.005481
21,21,adults,7,None,0.011804
21,21,adults,8,None,0.016522
21,21,adults,9,None,0.012581
22,22,adults,0,None,0.014483
22,22,adults,1,None,0.006154
22,22,adults,2,None,0.002277
22,22,adults,3,None,0.005718
22,22,adults,4,None,0.011766
22,22,adults,5,None,0.014221
22,22,adults,6,None,0.008715
22,22,adults,7,None,0.020381
22,22,adults,8,None,0.011537
22,22,adults,9,None,0.009064
23,23,adults,0,None,0.010886
23,23,adults,1,None,0.003629
23,23,adults,2,None,0.006622
23,23,adults,3,None,0.003265
23,23,adults,4,None,0.007000
23,23,adults,5,None,0.020648
23,23,adults,6,None,0.001709
23,23,adults,7,None,0.002614
23,23,adults,8,None,0.047587
23,23,adults,9,None,0.002788
24,24,adults,0,None,0.014894
24,24,adults,1,None,0.010226
24,24,adults,2,None,0.009221
24,24,adults,3,None,0.011950
24,24,adults,4,None,0.004875
24,24,adults,5,None,0.007841
24,24,adults,6,None,0.007066
24,24,adults,7,None,0.006170
24,24,adults,8,None,0.000790
24,24,adults,9,None,0.003445
25,25,adults,0,None,0.014944
25,25,adults,1,None,0.012332
25,25,adults,2,None,0.011691
25,25,adults,3,None,0.016198
25,25,adults,4,None,0.003020
25,25,adults,5,None,0.009978
25,25,adults,6,None,0.006421
25,25,adults,7,None,0.006813
25,25,adults,8,None,0.000995
25,25,adults,9,None,0.003274
26,26,adults,0,None,0.008216
26,26,adults,1,None,0.016812
26,26,adults,2,None,0.002863
26,26,adults,3,None,0.007876
26,26,adults,4,None,0.022935
26,26,adults,5,None,0.002659
26,26,adults,6,None,0.006653
26,26,adults,7,None,0.017492
26,26,adults,8,None,0.000139
26,26,adults,9,None,0.001333
27,27,adults,0,None,0.006602
27,27,adults,1,None,0.023536
27,27,adults,2,None,0.007727
