sample,thin_sample,who,which,forward,value
16,16,kids,OOCM,None,0.256888
16,16,kids,OCCO,None,0.027710
16,16,kids,CCOO,None,0.086188
16,16,kids,COCO,None,0.054835
16,16,kids,COOM,None,0.078295
17,17,kids,OMCO,None,0.038155
17,17,kids,OCOM,None,0.075333
17,17,kids,OOMC,None,0.323704
17,17,kids,OMOC,None,0.074101
17,17,kids,OOCM,None,0.247383
17,17,kids,OCCO,None,0.027683
17,17,kids,CCOO,None,0.079507
17,17,kids,COCO,None,0.056637
17,17,kids,COOM,None,0.077496
18,18,kids,OMCO,None,0.054334
18,18,kids,OCOM,None,0.093654
18,18,kids,OOMC,None,0.351388
18,18,kids,OMOC,None,0.065664
18,18,kids,OOCM,None,0.224185
18,18,kids,OCCO,None,0.043463
18,18,kids,CCOO,None,0.078562
18,18,kids,COCO,None,0.035680
18,18,kids,COOM,None,0.053070
19,19,kids,OMCO,None,0.034558
19,19,kids,OCOM,None,0.072927
19,19,kids,OOMC,None,0.270569
19,19,kids,OMOC,None,0.086131
19,19,kids,OOCM,None,0.310057
19,19,kids,OCCO,None,0.035643
19,19,kids,CCOO,None,0.071156
19,19,kids,COCO,None,0.048280
19,19,kids,COOM,None,0.070679
20,20,kids,OMCO,None,0.045080
20,20,kids,OCOM,None,0.082139
20,20,kids,OOMC,None,0.345160
20,20,kids,OMOC,None,0.069247
20,20,kids,OOCM,None,0.280972
20,20,kids,OCCO,None,0.025187
20,20,kids,CCOO,None,0.068314
20,20,kids,COCO,None,0.032589
20,20,kids,COOM,None,0.051311
21,21,kids,OMCO,None,0.043248
21,21,kids,OCOM,None,0.081447
21,21,kids,OOMC,None,0.340646
21,21,kids,OMOC,None,0.066254
21,21,kids,OOCM,None,0.287999
21,21,kids,OCCO,None,0.026077
21,21,kids,CCOO,None,0.069611
21,21,kids,COCO,None,0.033726
21,21,kids,COOM,None,0.050992
22,22,kids,OMCO,None,0.044778
22,22,kids,OCOM,None,0.080235
22,22,kids,OOMC,None,0.346146
22,22,kids,OMOC,None,0.065541
22,22,kids,OOCM,None,0.280384
22,22,kids,OCCO,None,0.026769
22,22,kids,CCOO,None,0.071980
22,22,kids,COCO,None,0.034538
22,22,kids,COOM,None,0.049628
23,23,kids,OMCO,None,0.043744
23,23,kids,OCOM,None,0.080708
23,23,kids,OOMC,None,0.354390
23,23,kids,OMOC,None,0.063450
23,23,kids,OOCM,None,0.277443
23,23,kids,OCCO,None,0.026762
23,23,kids,CCOO,None,0.069602
23,23,kids,COCO,None,0.034586
23,23,kids,COOM,None,0.049315
24,24,kids,OMCO,None,0.038529
24,24,kids,OCOM,None,0.080024
24,24,kids,OOMC,None,0.260599
24,24,kids,OMOC,None,0.092051
24,24,kids,OOCM,None,0.348937
24,24,kids,OCCO,None,0.038932
24,24,kids,CCOO,None,0.037676
24,24,kids,COCO,None,0.041894
24,24,kids,COOM,None,0.061358
25,25,kids,OMCO,None,0.060657
25,25,kids,OCOM,None,0.091737
25,25,kids,OOMC,None,0.274876
