sample,thin_sample,who,which,forward,value
14,14,monkeys,COCO,None,0.038495
14,14,monkeys,COOM,None,0.111350
15,15,monkeys,OMCO,None,0.254006
15,15,monkeys,OCOM,None,0.089560
15,15,monkeys,OOMC,None,0.183227
15,15,monkeys,OMOC,None,0.124901
15,15,monkeys,OOCM,None,0.074602
15,15,monkeys,OCCO,None,0.076055
15,15,monkeys,CCOO,None,0.054227
15,15,monkeys,COCO,None,0.095401
15,15,monkeys,COOM,None,0.048020
16,16,monkeys,OMCO,None,0.120945
16,16,monkeys,OCOM,None,0.081147
16,16,monkeys,OOMC,None,0.228706
16,16,monkeys,OMOC,None,0.232251
16,16,monkeys,OOCM,None,0.073775
16,16,monkeys,OCCO,None,0.132782
16,16,monkeys,CCOO,None,0.059425
16,16,monkeys,COCO,None,0.053450
16,16,monkeys,COOM,None,0.017518
17,17,monkeys,OMCO,None,0.097386
17,17,monkeys,OCOM,None,0.149586
17,17,monkeys,OOMC,None,0.292363
17,17,monkeys,OMOC,None,0.042185
17,17,monkeys,OOCM,None,0.257140
17,17,monkeys,OCCO,None,0.034963
17,17,monkeys,CCOO,None,0.017591
17,17,monkeys,COCO,None,0.038823
17,17,monkeys,COOM,None,0.069962
18,18,monkeys,OMCO,None,0.140679
18,18,monkeys,OCOM,None,0.057511
18,18,monkeys,OOMC,None,0.226735
18,18,monkeys,OMOC,None,0.350814
18,18,monkeys,OOCM,None,0.074017
18,18,monkeys,OCCO,None,0.032580
18,18,monkeys,CCOO,None,0.064385
18,18,monkeys,COCO,None,0.022083
18,18,monkeys,COOM,None,0.031194
19,19,monkeys,OMCO,None,0.208418
19,19,monkeys,OCOM,None,0.167486
19,19,monkeys,OOMC,None,0.111763
19,19,monkeys,OMOC,None,0.246898
19,19,monkeys,OOCM,None,0.116940
19,19,monkeys,OCCO,None,0.055494
19,19,monkeys,CCOO,None,0.014002
19,19,monkeys,COCO,None,0.027588
19,19,monkeys,COOM,None,0.051412
20,20,monkeys,OMCO,None,0.222187
20,20,monkeys,OCOM,None,0.129402
20,20,monkeys,OOMC,None,0.141749
20,20,monkeys,OMOC,None,0.240022
20,20,monkeys,OOCM,None,0.126900
20,20,monkeys,OCCO,None,0.043340
20,20,monkeys,CCOO,None,0.027113
20,20,monkeys,COCO,None,0.022002
20,20,monkeys,COOM,None,0.047285
21,21,monkeys,OMCO,None,0.150169
21,21,monkeys,OCOM,None,0.080286
21,21,monkeys,OOMC,None,0.222632
21,21,monkeys,OMOC,None,0.211332
21,21,monkeys,OOCM,None,0.180089
21,21,monkeys,OCCO,None,0.064094
21,21,monkeys,CCOO,None,0.019863
21,21,monkeys,COCO,None,0.032965
21,21,monkeys,COOM,None,0.038572
22,22,monkeys,OMCO,None,0.141540
22,22,monkeys,OCOM,None,0.095355
22,22,monkeys,OOMC,None,0.267983
22,22,monkeys,OMOC,None,0.196664
22,22,monkeys,OOCM,None,0.111627
22,22,monkeys,OCCO,None,0.039331
22,22,monkeys,CCOO,None,0.024232
22,22,monkeys,COCO,None,0.061116
22,22,monkeys,COOM,None,0.062152
23,23,monkeys,OMCO,None,0.199576
23,23,monkeys,OCOM,None,0.073194
23,23,monkeys,OOMC,None,0.224028
23,23,monkeys,OMOC,None,0.166134
23,23,monkeys,OOCM,None,0.110623
23,23,monkeys,OCCO,None,0.062200
23,23,monkeys,CCOO,None,0.084974
23,23,monkeys,COCO,None,0.020880
23,23,monkeys,COOM,None,0.058390
24,24,monkeys,OMCO,None,0.092632
24,24,monkeys,OCOM,None,0.089423
24,24,monkeys,OOMC,None,0.202981
24,24,monkeys,OMOC,None,0.201897
24,24,monkeys,OOCM,None,0.237502
24,24,monkeys,OCCO,None,0.042353
24,24,monkeys,CCOO,None,0.028300
24,24,monkeys,COCO,None,0.071919
24,24,monkeys,COOM,None,0.032993
25,25,monkeys,OMCO,None,0.078376
25,25,monkeys,OCOM,None,0.108772
25,25,monkeys,OOMC,None,0.206663
25,25,monkeys,OMOC,None,0.152450
25,25,monkeys,OOCM,None,0.195816
25,25,monkeys,OCCO,None,0.064391
25,25,monkeys,CCOO,None,0.040896
25,25,monkeys,COCO,None,0.046876
25,25,monkeys,COOM,None,0.105761
26,26,monkeys,OMCO,None,0.212091
26,26,monkeys,OCOM,None,0.096803
26,26,monkeys,OOMC,None,0.301336
26,26,monkeys,OMOC,None,0.127337
26,26,monkeys,OOCM,None,0.076861
26,26,monkeys,OCCO,None,0.054005
26,26,monkeys,CCOO,None,0.031146
26,26,monkeys,COCO,None,0.066133
26,26,monkeys,COOM,None,0.034289
27,27,monkeys,OMCO,None,0.248216
27,27,monkeys,OCOM,None,0.122399
27,27,monkeys,OOMC,None,0.225237
27,27,monkeys,OMOC,None,0.152541
27,27,monkeys,OOCM,None,0.129396
27,27,monkeys,OCCO,None,0.038503
27,27,monkeys,CCOO,None,0.016069
27,27,monkeys,COCO,None,0.035591
27,27,monkeys,COOM,None,0.032046
28,28,monkeys,OMCO,None,0.123689
28,28,monkeys,OCOM,None,0.066771
28,28,monkeys,OOMC,None,0.266195
28,28,monkeys,OMOC,None,0.211353
28,28,monkeys,OOCM,None,0.095594
28,28,monkeys,OCCO,None,0.036881
28,28,monkeys,CCOO,None,0.051026
28,28,monkeys,COCO,None,0.070807
28,28,monkeys,COOM,None,0.077684
29,29,monkeys,OMCO,None,0.147073
29,29,monkeys,OCOM,None,0.038123
29,29,monkeys,OOMC,None,0.304763
29,29,monkeys,OMOC,None,0.163317
29,29,monkeys,OOCM,None,0.205049
29,29,monkeys,OCCO,None,0.017362
29,29,monkeys,CCOO,None,0.043356
29,29,monkeys,COCO,None,0.011809
29,29,monkeys,COOM,None,0.069149
30,30,monkeys,OMCO,None,0.146028
30,30,monkeys,OCOM,None,0.085281
30,30,monkeys,OOMC,None,0.341664
30,30,monkeys,OMOC,None,0.117477
30,30,monkeys,OOCM,None,0.118566
30,30,monkeys,OCCO,None,0.078711
30,30,monkeys,CCOO,None,0.022216
30,30,monkeys,COCO,None,0.039991
30,30,monkeys,COOM,None,0.050067
31,31,monkeys,OMCO,None,0.136705
31,31,monkeys,OCOM,None,0.034462
31,31,monkeys,OOMC,None,0.316933
31,31,monkeys,OMOC,None,0.144012
31,31,monkeys,OOCM,None,0.180604
31,31,monkeys,OCCO,None,0.026461
31,31,monkeys,CCOO,None,0.067286
31,31,monkeys,COCO,None,0.043963
31,31,monkeys,COOM,None,0.049574
32,32,monkeys,OMCO,None,0.212577
32,32,monkeys,OCOM,None,0.033265
32,32,monkeys,OOMC,None,0.241425
32,32,monkeys,OMOC,None,0.142986
32,32,monkeys,OOCM,None,0.163965
32,32,monkeys,OCCO,None,0.068671
32,32,monkeys,CCOO,None,0.042737
32,32,monkeys,COCO,None,0.041325
32,32,monkeys,COOM,None,0.053048
33,33,monkeys,OMCO,None,0.124833
33,33,monkeys,OCOM,None,0.068176
33,33,monkeys,OOMC,None,0.253102
33,33,monkeys,OMOC,None,0.139355
33,33,monkeys,OOCM,None,0.112171
33,33,monkeys,OCCO,None,0.095824
33,33,monkeys,CCOO,None,0.066934
33,33,monkeys,COCO,None,0.069369
33,33,monkeys,COOM,None,0.070236
34,34,monkeys,OMCO,None,0.215439
34,34,monkeys,OCOM,None,0.085421
34,34,monkeys,OOMC,None,0.188724
34,34,monkeys,OMOC,None,0.185021
34,34,monkeys,OOCM,None,0.124933
34,34,monkeys,OCCO,None,0.053727
34,34,monkeys,CCOO,None,0.029957
34,34,monkeys,COCO,None,0.075807
34,34,monkeys,COOM,None,0.040970
35,35,monkeys,OMCO,None,0.113137
35,35,monkeys,OCOM,None,0.092655
35,35,monkeys,OOMC,None,0.236952
35,35,monkeys,OMOC,None,0.118214
35,35,monkeys,OOCM,None,0.145790
35,35,monkeys,OCCO,None,0.094246
35,35,monkeys,CCOO,None,0.072437
35,35,monkeys,COCO,None,0.042501
35,35,monkeys,COOM,None,0.084067
36,36,monkeys,OMCO,None,0.107589
36,36,monkeys,OCOM,None,0.182142
36,36,monkeys,OOMC,None,0.249708
36,36,monkeys,OMOC,None,0.168611
36,36,monkeys,OOCM,None,0.101135
36,36,monkeys,OCCO,None,0.087727
36,36,monkeys,CCOO,None,0.033137
36,36,monkeys,COCO,None,0.040813
36,36,monkeys,COOM,None,0.029139
37,37,monkeys,OMCO,None,0.236365
37,37,monkeys,OCOM,None,0.042601
37,37,monkeys,OOMC,None,0.165864
37,37,monkeys,OMOC,None,0.138645
37,37,monkeys,OOCM,None,0.152972
37,37,monkeys,OCCO,None,0.045221
37,37,monkeys,CCOO,None,0.064455
37,37,monkeys,COCO,None,0.044992
37,37,monkeys,COOM,None,0.108885
38,38,monkeys,OMCO,None,0.163980
38,38,monkeys,OCOM,None,0.028951
38,38,monkeys,OOMC,None,0.208777
38,38,monkeys,OMOC,None,0.153807
38,38,monkeys,OOCM,None,0.244492
38,38,monkeys,OCCO,None,0.081446
38,38,monkeys,CCOO,None,0.040449
38,38,monkeys,COCO,None,0.053293
38,38,monkeys,COOM,None,0.024805
39,39,monkeys,OMCO,None,0.196527
39,39,monkeys,OCOM,None,0.075098
39,39,monkeys,OOMC,None,0.288028
39,39,monkeys,OMOC,None,0.211473
39,39,monkeys,OOCM,None,0.082525
39,39,monkeys,OCCO,None,0.034544
39,39,monkeys,CCOO,None,0.015172
39,39,monkeys,COCO,None,0.019085
39,39,monkeys,COOM,None,0.077548
40,40,monkeys,OMCO,None,0.151367
40,40,monkeys,OCOM,None,0.072734
40,40,monkeys,OOMC,None,0.211050
40,40,monkeys,OMOC,None,0.096820
40,40,monkeys,OOCM,None,0.267506
40,40,monkeys,OCCO,None,0.102406
40,40,monkeys,CCOO,None,0.057174
40,40,monkeys,COCO,None,0.007543
40,40,monkeys,COOM,None,0.033400
41,41,monkeys,OMCO,None,0.135097
41,41,monkeys,OCOM,None,0.125581
41,41,monkeys,OOMC,None,0.215865
41,41,monkeys,OMOC,None,0.164424
41,41,monkeys,OOCM,None,0.158289
41,41,monkeys,OCCO,None,0.074176
41,41,monkeys,CCOO,None,0.069476
41,41,monkeys,COCO,None,0.026347
41,41,monkeys,COOM,None,0.030745
42,42,monkeys,OMCO,None,0.132858
42,42,monkeys,OCOM,None,0.073894
42,42,monkeys,OOMC,None,0.190310
42,42,monkeys,OMOC,None,0.236401
42,42,monkeys,OOCM,None,0.192515
42,42,monkeys,OCCO,None,0.057791
42,42,monkeys,CCOO,None,0.036046
42,42,monkeys,COCO,None,0.019094
42,42,monkeys,COOM,None,0.061092
43,43,monkeys,OMCO,None,0.124926
43,43,monkeys,OCOM,None,0.182820
43,43,monkeys,OOMC,None,0.202433
43,43,monkeys,OMOC,None,0.210514
43,43,monkeys,OOCM,None,0.088881
