sample,thin_sample,who,part,which,forward,value
0,0,kids,0,OMCO,0.0434620806847,0.003030
0,0,kids,0,OCOM,0.0434620806847,0.021288
0,0,kids,0,OOMC,0.0434620806847,0.137224
0,0,kids,0,OMOC,0.0434620806847,0.071926
0,0,kids,0,OOCM,0.0434620806847,0.720198
0,0,kids,0,OCCO,0.0434620806847,0.000235
0,0,kids,0,CCOO,0.0434620806847,0.045882
0,0,kids,0,COCO,0.0434620806847,0.000152
0,0,kids,0,COOM,0.0434620806847,0.000065
0,0,kids,1,OMCO,0.0393977540815,0.092186
0,0,kids,1,OCOM,0.0393977540815,0.034830
0,0,kids,1,OOMC,0.0393977540815,0.381366
0,0,kids,1,OMOC,0.0393977540815,0.000009
0,0,kids,1,OOCM,0.0393977540815,0.415954
0,0,kids,1,OCCO,0.0393977540815,0.000235
0,0,kids,1,CCOO,0.0393977540815,0.005227
0,0,kids,1,COCO,0.0393977540815,0.069980
0,0,kids,1,COOM,0.0393977540815,0.000214
0,0,kids,2,OMCO,0.118266850084,0.000234
0,0,kids,2,OCOM,0.118266850084,0.002450
0,0,kids,2,OOMC,0.118266850084,0.724405
0,0,kids,2,OMOC,0.118266850084,0.001525
0,0,kids,2,OOCM,0.118266850084,0.047496
0,0,kids,2,OCCO,0.118266850084,0.000000
0,0,kids,2,CCOO,0.118266850084,0.174661
0,0,kids,2,COCO,0.118266850084,0.000000
0,0,kids,2,COOM,0.118266850084,0.049229
0,0,kids,3,OMCO,0.0379197676202,0.000015
0,0,kids,3,OCOM,0.0379197676202,0.055976
0,0,kids,3,OOMC,0.0379197676202,0.253725
0,0,kids,3,OMOC,0.0379197676202,0.018021
0,0,kids,3,OOCM,0.0379197676202,0.652214
0,0,kids,3,OCCO,0.0379197676202,0.010124
0,0,kids,3,CCOO,0.0379197676202,0.009925
0,0,kids,3,COCO,0.0379197676202,0.000000
0,0,kids,3,COOM,0.0379197676202,0.000000
0,0,kids,4,OMCO,0.0138304086647,0.000000
0,0,kids,4,OCOM,0.0138304086647,0.004788
0,0,kids,4,OOMC,0.0138304086647,0.768691
0,0,kids,4,OMOC,0.0138304086647,0.000000
0,0,kids,4,OOCM,0.0138304086647,0.226003
0,0,kids,4,OCCO,0.0138304086647,0.000229
0,0,kids,4,CCOO,0.0138304086647,0.000119
0,0,kids,4,COCO,0.0138304086647,0.000017
0,0,kids,4,COOM,0.0138304086647,0.000153
0,0,kids,5,OMCO,0.0748974143433,0.005922
0,0,kids,5,OCOM,0.0748974143433,0.003486
0,0,kids,5,OOMC,0.0748974143433,0.477618
0,0,kids,5,OMOC,0.0748974143433,0.014139
0,0,kids,5,OOCM,0.0748974143433,0.498676
0,0,kids,5,OCCO,0.0748974143433,0.000001
0,0,kids,5,CCOO,0.0748974143433,0.000023
0,0,kids,5,COCO,0.0748974143433,0.000068
0,0,kids,5,COOM,0.0748974143433,0.000067
